INFO 2025-05-16 08:45:26,515 autoreload 14728 11236 Watching for file changes with StatReloader
INFO 2025-05-16 08:49:50,415 basehttp 14728 21412 "GET /verificar-sesion/ HTTP/1.1" 200 157
INFO 2025-05-16 08:49:50,450 basehttp 14728 29396 "GET /verificar-sesion/ HTTP/1.1" 200 157
INFO 2025-05-16 08:49:50,691 basehttp 14728 40640 "OPTIONS /limpiar-horarios/ HTTP/1.1" 200 0
INFO 2025-05-16 08:49:50,923 basehttp 14728 29396 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 08:49:51,105 basehttp 14728 44592 "OPTIONS /limpiar-horarios/ HTTP/1.1" 200 0
INFO 2025-05-16 08:49:51,202 basehttp 14728 21412 "GET /periodo-vigente/ HTTP/1.1" 200 102
WARNING 2025-05-16 08:49:51,259 log 14728 33772 Forbidden: /limpiar-horarios/
WARNING 2025-05-16 08:49:51,274 basehttp 14728 33772 "POST /limpiar-horarios/ HTTP/1.1" 403 44
INFO 2025-05-16 08:49:51,423 basehttp 14728 16464 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 08:49:51,478 basehttp 14728 6048 "GET /obtener-asignaturas-docente/ HTTP/1.1" 200 458
INFO 2025-05-16 08:49:51,486 basehttp 14728 29396 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 08:49:51,732 basehttp 14728 21412 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:49:51,764 basehttp 14728 33772 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 08:49:51,787 basehttp 14728 2748 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:49:51,822 basehttp 14728 16464 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:49:51,840 basehttp 14728 29396 "GET /obtener-asignaturas-docente/ HTTP/1.1" 200 458
INFO 2025-05-16 08:49:51,897 basehttp 14728 6048 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
WARNING 2025-05-16 08:49:51,983 log 14728 33772 Forbidden: /limpiar-horarios/
WARNING 2025-05-16 08:49:51,984 basehttp 14728 33772 "POST /limpiar-horarios/ HTTP/1.1" 403 44
INFO 2025-05-16 08:49:52,010 basehttp 14728 21412 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
WARNING 2025-05-16 08:49:55,016 log 14728 26192 Unauthorized: /verificar-sesion/
WARNING 2025-05-16 08:49:55,017 basehttp 14728 26192 "GET /verificar-sesion/ HTTP/1.1" 401 22
WARNING 2025-05-16 08:49:55,020 log 14728 26192 Unauthorized: /verificar-sesion/
WARNING 2025-05-16 08:49:55,021 basehttp 14728 26192 "GET /verificar-sesion/ HTTP/1.1" 401 22
INFO 2025-05-16 08:49:58,399 basehttp 14728 21412 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 08:49:58,481 basehttp 14728 16464 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 08:49:58,488 basehttp 14728 29396 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:50:12,517 basehttp 14728 9988 "OPTIONS /login/ HTTP/1.1" 200 0
INFO 2025-05-16 08:50:14,496 basehttp 14728 26192 "POST /login/ HTTP/1.1" 200 169
INFO 2025-05-16 08:50:14,550 basehttp 14728 9988 "OPTIONS /limpiar-horarios/ HTTP/1.1" 200 0
WARNING 2025-05-16 08:50:15,106 log 14728 31124 Forbidden: /limpiar-horarios/
INFO 2025-05-16 08:50:15,115 basehttp 14728 26192 "GET /mis-asesorias/ HTTP/1.1" 200 6574
WARNING 2025-05-16 08:50:15,148 basehttp 14728 31124 "POST /limpiar-horarios/ HTTP/1.1" 403 44
WARNING 2025-05-16 08:50:15,234 log 14728 32228 Forbidden: /limpiar-horarios/
WARNING 2025-05-16 08:50:15,268 basehttp 14728 32228 "POST /limpiar-horarios/ HTTP/1.1" 403 44
INFO 2025-05-16 08:50:15,449 basehttp 14728 26192 "GET /mis-asesorias/ HTTP/1.1" 200 6574
INFO 2025-05-16 08:50:16,448 basehttp 14728 26192 "GET /mis-asesorias/ HTTP/1.1" 200 6574
INFO 2025-05-16 08:50:21,727 basehttp 14728 26192 "GET /obtener-asignaturas-por-semestre HTTP/1.1" 301 0
INFO 2025-05-16 08:50:21,854 basehttp 14728 31124 "GET /obtener-asignaturas-por-semestre/ HTTP/1.1" 200 136
INFO 2025-05-16 08:50:25,792 basehttp 14728 31124 "GET /obtener-docentes-por-asignatura/4/ HTTP/1.1" 200 272
INFO 2025-05-16 08:50:27,837 basehttp 14728 31124 "GET /obtener-horarios-disponibles/3/ HTTP/1.1" 200 5157
INFO 2025-05-16 08:50:37,126 basehttp 14728 21412 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 08:50:37,228 basehttp 14728 16464 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:51:02,800 basehttp 14728 21412 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 08:51:02,806 basehttp 14728 40640 "OPTIONS /registrar-horario/ HTTP/1.1" 200 0
INFO 2025-05-16 08:51:02,940 basehttp 14728 16464 "POST /registrar-horario/ HTTP/1.1" 201 50
INFO 2025-05-16 08:51:06,513 basehttp 14728 21412 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 08:51:06,527 basehttp 14728 6048 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 08:51:06,593 basehttp 14728 16464 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 08:51:18,472 basehttp 14728 31124 "GET /verificar-sesion/ HTTP/1.1" 200 159
INFO 2025-05-16 08:51:18,480 basehttp 14728 32228 "GET /verificar-sesion/ HTTP/1.1" 200 159
